ansatz,n,vanilla,pcgrad,lso_pcgrad
hva,4,0.7218707670313347,0.055727983551279434,0.7372556085407237
hva,6,0.7496650318456877,0.13697747767137175,0.7708721917289969
hva,8,0.775670994965361,0.23273405688539522,0.8025780021298248
hva,10,0.8101170470898573,0.3023380766701681,0.8371408264422244
