n,corr_vanilla,corr_pcgrad,corr_lso_pcgrad,corr_pcgrad_nm,corr_lso_grid,corr_vanilla_ls_nm,cos_pcgrad,pcr_mean_pcgrad,pcr_med_pcgrad,cos_pcgrad_nm,pcr_mean_pcgrad_nm,pcr_med_pcgrad_nm
4,0.9984675638643126,0.8538044883975138,0.9971747306035114,0.9551480649068222,0.997176030881277,0.9972611299618627,0.3037863787887314,1.158327163519311,1.1263198127587348,0.2616715647408708,1.126936397497001,1.0952509912746398
6,0.9992795416713455,0.8051254680879576,0.9984386810322828,0.9226459187321573,0.9984249513388334,0.9985807875946627,0.3420199984282716,1.2249051382826397,1.2256908397137063,0.2969550238949831,1.1856302872009135,1.1708214196300633
8,0.9990549217987845,0.8123304498099523,0.9981175243053381,0.9357355979012147,0.9980913059126211,0.9981388805317127,0.34295637435202936,1.2391713822928694,1.2377783151797597,0.2921990277874333,1.1870971853754235,1.1806513399937428
10,0.9994173309968531,0.7978425021835022,0.9987693963050801,0.9191453395228867,0.9987639136990855,0.9987590227657513,0.35147643257812056,1.2660411311958175,1.2583548388033017,0.3008467104297131,1.2104708278728047,1.2006608964230425
