scope,n_cells,corr_rho_nu_vs_s_nu,corr_rho_nu_vs_nu_over_G
pooled,46,0.738746603726311,0.7033494420384672
hea,23,0.6710248995715759,0.6414023043320014
hva,23,0.6056424624307059,0.6051320914463101
