ansatz,n,pcgrad_nm,lso_grid,vanilla_ls_nm
hea,4,0.2989990620741054,0.6064338349126498,0.6436598453639736
hea,6,0.38472924056829627,0.5878950027889202,0.594717867039149
hea,8,-0.23107985322701072,0.3569676939850846,0.36879209300513327
hea,10,-0.5796492755190276,0.005322588809588175,0.08634777677720659
