variant,n,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
vanilla,4,1.296438357792244,0.021262416402892448,1156,1156,0.005971902681396267,0.013233853131374698,0.007261950449978431,2.216019556480874
vanilla,6,2.364158075836479,0.09904176153639235,1324,1324,0.02501429861856332,0.049353053433187084,0.024338754814623765,1.9729936939571742
vanilla,8,2.8844492946787357,0.1241034129685899,2131,2131,0.03524069292457461,0.07458755368151332,0.03934686075693871,2.1165177949580194
vanilla,10,3.1670772378398953,0.1389885563901651,3049,3049,0.03443966451177239,0.09335392619982778,0.05891426168805539,2.7106514399382995
pcgrad,4,1.4453561992735162,1.4410010048583177,1752,1752,0.02183934466294908,0.0011353880036147712,-0.02070395665933431,0.05198819017408436
pcgrad,6,1.7662470824863286,0.6312613747155857,1669,1669,0.042922768584155876,0.014337687590735343,-0.028585080993420532,0.3340345477161934
pcgrad,8,2.224690160959231,0.4662449441617639,2266,2266,0.0625830288983718,0.03759935586818373,-0.02498367303018808,0.600791564902381
pcgrad,10,2.77969121016859,0.4570539751481095,3045,3045,0.055386564167766314,0.06578927147664715,0.010402707308880835,1.187820051039291
lso_pcgrad,4,1.234767374009119,0.01375648796243115,1527,1527,0.003285683327101632,0.013951007806804645,0.010665324479703014,4.245998904316537
lso_pcgrad,6,2.070095592415213,0.0977188940799744,1400,1400,0.02079416813124726,0.0469977773414529,0.026203609210205637,2.2601422208772872
lso_pcgrad,8,2.5545580045551346,0.19238465746972355,1633,1633,0.03861408723110554,0.07617287513327205,0.037558787902166504,1.9726706131204639
lso_pcgrad,10,2.96782663992302,0.2099079174936428,2594,2594,0.04528803793231145,0.09914723139187734,0.05385919345956589,2.1892587075656733
pcgrad_nm,4,1.2533714266036933,0.641212717066122,2114,2114,0.020585116862679536,-0.0008050239096860669,-0.021390140772365604,-0.039107084747503254
pcgrad_nm,6,1.8516680307131774,0.2626190365682265,1670,1670,0.03958929954204754,0.023264866881153746,-0.016324432660893794,0.5876554308934989
pcgrad_nm,8,2.645666054002099,0.18863275690856265,2250,2250,0.0443010420312395,0.05158334743688767,0.007282305405648164,1.1643822599141787
pcgrad_nm,10,3.1285975281176173,0.161883571324005,3309,3309,0.03681135884240249,0.07350188384272387,0.036690525000321376,1.9967174848774687
lso_grid,4,1.1005127002361772,0.0151757959418666,1288,1288,0.004460359396542162,0.011526090457444491,0.00706573106090233,2.5841169808827402
lso_grid,6,2.0377380504998595,0.10095429929286295,1380,1380,0.02010161235810492,0.04614692587329372,0.026045313515188802,2.295682806493251
lso_grid,8,2.553690788058148,0.19523372745411394,1647,1647,0.0390654084603705,0.07622271802383516,0.03715730956346466,1.9511563049739646
lso_grid,10,2.959034292365216,0.21314436175655088,2597,2597,0.04527808024754168,0.09820354865824507,0.05292546841070339,2.1688982421814784
vanilla_ls_nm,4,1.0263271140567602,0.0142915672413747,1479,1479,0.0035518517625336373,0.0090562007220309,0.005504348959497264,2.5497124676089675
vanilla_ls_nm,6,2.061605280177316,0.08705396593167644,1235,1235,0.018299782191636707,0.04002989505356772,0.021730112861931015,2.1874519944757607
vanilla_ls_nm,8,2.6013982149145933,0.2055491152555265,1610,1610,0.03976363505495735,0.0832987740329697,0.04353513897801235,2.0948480670301497
vanilla_ls_nm,10,2.9296969366197585,0.24637121988223748,2480,2480,0.047612209628488895,0.10361006114926395,0.055997851520775056,2.176123770724318
