ansatz,n,highU_lowQ,lowU_highQ,ratio
hea,4,0.003285683327101632,0.013951007806804645,4.245998904316537
hea,6,0.02079416813124726,0.0469977773414529,2.2601422208772872
hea,8,0.03861408723110554,0.07617287513327205,1.9726706131204639
hea,10,0.04528803793231145,0.09914723139187734,2.1892587075656733
