n,corr_vanilla,corr_pcgrad,corr_lso_pcgrad,corr_pcgrad_nm,corr_lso_grid,corr_vanilla_ls_nm,cos_pcgrad,pcr_mean_pcgrad,pcr_med_pcgrad,cos_pcgrad_nm,pcr_mean_pcgrad_nm,pcr_med_pcgrad_nm
4,0.9993332789536007,0.8714016656232181,0.9989196392476821,0.9702908308431191,0.9989195340842395,0.9989860246872408,0.4010234422005719,1.3609082276616673,1.3769106786161909,0.36488817275690316,1.3088647980629717,1.2914940820012868
6,0.9998794503018825,0.8612773563405695,0.9997920540554588,0.9901427982530469,0.9997919902813518,0.9997930185863824,0.45613137291040917,1.4533961098817105,1.457932085774567,0.536038410471404,1.5145183135438514,1.5253755104333393
8,0.9998988321643275,0.655467546108951,0.9998198585031799,0.9594406713203822,0.9998189941406128,0.9997937506694925,0.5451388576112953,1.4877166079191786,1.5167046872651706,0.6894499167490794,1.590488763686033,1.6082078458052056
10,0.99991049399389,0.7907943109787908,0.9998257833581983,0.9716873389796677,0.9998233457070819,0.9998123975274341,0.6219644079002302,1.4618584376026824,1.4898569964830297,0.752157111743042,1.5299797399255326,1.5333372241757028
