ansatz,n,corr_U_sqrtQ,corr_U_dE,corr_sqrtQ_dE,corr_pred_dE
hea,4,0.572296117512854,0.5897839214014101,0.9877377491436116,0.9989196392476821
hea,6,0.5840484764788665,0.6542211038157202,0.9830652774943442,0.9997920540554588
hea,8,0.3632437573509945,0.5689073654831861,0.9537769422640243,0.9998198585031799
hea,10,0.013464218624165497,0.266151817517624,0.9498212060205702,0.9998257833581983
