variant,n,d,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
vanilla,4,4,1.5744852128405598,0.0367691813317724,370,370,0.009685869392369605,0.023834695127134868,0.014148825734765263,2.46076982474196
vanilla,4,6,1.3438079337059166,0.01742676430651815,438,438,0.005443755113714362,0.012374086834967078,0.006930331721252715,2.2730792580645747
vanilla,4,8,0.924242628413571,0.0140364161044798,493,493,0.0025130364721742257,0.007519446133364609,0.0050064096611903836,2.9921754883481433
vanilla,6,4,2.153540252358175,0.1532086114176967,353,353,0.03964137958383103,0.049827494515737744,0.010186114931906715,1.2569566205526672
vanilla,6,6,2.4047592479003117,0.07266386211578349,397,397,0.02324272741269388,0.039061705335903904,0.015818977923210024,1.680599038242413
vanilla,6,8,2.5171693985752137,0.0647826285859224,377,377,0.022093988796935162,0.04602341047649487,0.02392942167955971,2.08307385775805
vanilla,8,4,2.538288376084332,0.2893978385278248,449,449,0.06313414594657872,0.08317995075540727,0.020045804808828546,1.3175113008702202
vanilla,8,6,2.9290075253957966,0.11881090214779566,606,606,0.04109949235368788,0.06619206143833815,0.025092569084650275,1.6105323362320971
vanilla,8,8,3.118803105477979,0.041180710493098655,319,319,0.024377797789019225,0.040835514177770954,0.01645771638875173,1.6751108747060397
vanilla,10,4,2.8068221606556425,0.4635440242878764,428,428,0.086994062341997,0.10870881326973993,0.02171475092774293,1.2496118739963702
vanilla,10,6,3.1854320388412782,0.17506027062460322,806,806,0.04691714073131787,0.0852825129540087,0.038365372222690826,1.8177261364327213
vanilla,10,8,3.6039330159016756,0.02025102393540205,530,530,0.0182654773252358,0.04466455969550443,0.026399082370268633,2.4452993425906997
pcgrad,4,4,1.2110597725624117,0.3120731098088194,665,665,0.011848231794927314,0.006929519103619459,-0.004918712691307855,0.584856814380206
pcgrad,4,6,1.3535204921900643,1.0992051442852266,869,869,0.015607430319018593,0.002267186148310882,-0.013340244170707711,0.1452632561523071
pcgrad,4,8,1.6609941037479823,3.30200467895353,783,783,0.017836558957831875,-0.002784761079418317,-0.02062132003725019,-0.15612658730878992
pcgrad,6,4,1.460299401087361,0.6974261756989313,591,591,0.047527829057217835,0.013930604353843088,-0.03359722470337475,0.2931041587671152
pcgrad,6,6,1.8215503931815218,0.5475752401875048,506,506,0.04846825722436766,0.01590540466141002,-0.03256285256295764,0.3281612662031821
pcgrad,6,8,1.8907888484173716,0.6477244025331584,538,538,0.03205820844023169,0.0011871401988862126,-0.030871068241345476,0.03703077173197246
pcgrad,8,4,1.775543894483321,0.9404126120380911,778,778,0.08683329401923752,0.023148957881586555,-0.06368433613765097,0.2665908064763501
pcgrad,8,6,2.4346600423904907,0.5292636267700985,803,803,0.07704846535078903,0.046466554343565176,-0.030581911007223857,0.6030821526685908
pcgrad,8,8,2.30714897032881,0.11143111913354875,362,362,0.034157900459629784,0.04342260184434101,0.009264701384711228,1.2712315821536193
pcgrad,10,4,1.8641563880009113,1.120430080361515,682,682,0.09764343248161177,0.03475921410192631,-0.06288421837968546,0.3559810754140805
pcgrad,10,6,2.810016750974433,0.6388740235133834,1087,1087,0.07729842386755065,0.07957776370609046,0.0022793398385398123,1.0294875331797892
pcgrad,10,8,3.0888481065645634,0.0506318162333474,635,635,0.029904593706114434,0.07251208742031622,0.04260749371420178,2.4247808926255385
lso_pcgrad,4,4,1.3841299892650705,0.023810706417254697,492,492,0.006920433480519945,0.026042003801883176,0.019121570321363232,3.763059622664936
lso_pcgrad,4,6,1.1617954866115068,0.01247609623704005,509,509,0.0031341136348685284,0.012458150574931508,0.00932403694006298,3.975015594944792
lso_pcgrad,4,8,1.1527547181832345,0.0039914095062766,725,725,0.0015372481407179828,0.010753424702016635,0.009216176561298653,6.995243264366006
lso_pcgrad,6,4,1.7817586977467208,0.21364321483486065,360,360,0.03216116662767269,0.05046217725158179,0.018301010623909097,1.569040633251227
lso_pcgrad,6,6,2.1344391639286333,0.0782501098780283,388,388,0.020145730043343687,0.04225571981015361,0.02210998976680992,2.0975025337498376
lso_pcgrad,6,8,2.1858719733989598,0.04714619278253345,379,379,0.015345163022307989,0.04505878469837837,0.029713621676070376,2.9363509943083876
lso_pcgrad,8,4,2.2006791155730614,0.4022450624542065,293,293,0.06358584035854138,0.08175395374997488,0.018168113391433496,1.2857257730492981
lso_pcgrad,8,6,2.608548842926046,0.23252207439892225,474,474,0.05000804420522833,0.07872653890342819,0.028718494698199863,1.5742775018423407
lso_pcgrad,8,8,2.7866951958450605,0.0594559104236655,386,386,0.026691708187873572,0.04328888981308954,0.016597181625215965,1.621810395512877
lso_pcgrad,10,4,2.4171972300203954,0.4973430032522964,347,347,0.08310253137476845,0.09896344613965143,0.01586091476488298,1.19085958637475
lso_pcgrad,10,6,3.021836360218434,0.29095186571606424,782,782,0.06612439899718116,0.1084702731432017,0.04234587414602055,1.6403971119317957
lso_pcgrad,10,8,3.2970578814592697,0.0464429325588563,630,630,0.025485547751549955,0.06882465006490845,0.043339102313358496,2.7005364269921466
pcgrad_nm,4,4,1.2181220643608062,0.25118363357140394,608,608,0.017226131364350212,0.0032339232440427076,-0.013992208120307504,0.18773357613743558
pcgrad_nm,4,6,1.1796124951202134,0.5706750258222949,842,842,0.01680463874469591,0.0019035893895143305,-0.014901049355181578,0.11327761449886362
pcgrad_nm,4,8,1.3660268044799209,1.1152253582542881,756,756,0.016746717554798205,0.0014553379004954047,-0.0152913796543028,0.08690287489075296
pcgrad_nm,6,4,1.8468107656278208,0.3946148023802374,714,714,0.048187159379862635,0.022981782183719924,-0.02520537719614271,0.4769275151198057
pcgrad_nm,6,6,1.9605091850041538,0.20470600781389509,521,521,0.038682669904640615,0.02470510615101261,-0.013977563753628006,0.6386608321482181
pcgrad_nm,6,8,1.7929757631877976,0.2239537568577598,407,407,0.02892812953513003,0.018492247221243534,-0.010435882313886497,0.6392479402716561
pcgrad_nm,8,4,2.335480355448415,0.497801456935392,889,889,0.07608532153403379,0.0417377023177597,-0.034347619216274085,0.5485644468110709
pcgrad_nm,8,6,2.7848476404157854,0.14889426069846795,682,682,0.042863430015496785,0.0551528615546653,0.012289431539168512,1.286711341923066
pcgrad_nm,8,8,2.799021498889134,0.05310068957433855,307,307,0.029196590475609876,0.03213419880997619,0.002937608334366317,1.1006147733866503
pcgrad_nm,10,4,2.569940388223655,0.7458507326191242,859,859,0.09431128695637193,0.05010175381288061,-0.044209533143491325,0.5312381521848758
pcgrad_nm,10,6,3.172258803541142,0.1539898057525277,1054,1054,0.04472966025454122,0.07985283393663545,0.03512317368209423,1.7852322928951447
pcgrad_nm,10,8,3.4759531305430404,0.019056934406500747,403,403,0.020807644176213645,0.04796549091107374,0.027157846734860092,2.3051860414792036
lso_grid,4,4,1.3531327607979542,0.025947187270405347,459,459,0.007477214799055912,0.023481613493302172,0.01600439869424626,3.1404224867616493
lso_grid,4,6,1.0666437858515456,0.01433908852851825,445,445,0.0037590545061766995,0.010479242564974395,0.006720188058797696,2.7877336036908757
lso_grid,4,8,0.9130817205307125,0.004920182763673999,439,439,0.002187325568668123,0.008072388508089022,0.005885062939420899,3.690529029477927
lso_grid,6,4,1.7721780745470193,0.21592122454635035,358,358,0.03210078692327966,0.04978078452509094,0.017679997601811277,1.5507652396206415
lso_grid,6,6,2.0981462265979918,0.08320528774049554,395,395,0.020328210861224907,0.041417137435684044,0.021088926574459137,2.037421675642162
lso_grid,6,8,2.1402744650123786,0.049037945092325994,407,407,0.015059756437422342,0.04097098295918172,0.02591122652175938,2.7205607958819287
lso_grid,8,4,2.170195853929299,0.40931234361568475,306,306,0.0635715157301576,0.0804157627355776,0.016844247005420004,1.264965319954284
lso_grid,8,6,2.6090106103478066,0.2335890003862793,482,482,0.04995805524256002,0.07887740590782859,0.028919350665268566,1.5788726267437194
lso_grid,8,8,2.7821243019137887,0.059951713347411145,391,391,0.026693732358740764,0.042909098112285916,0.016215365753545152,1.6074596663975127
lso_grid,10,4,2.3875312759029566,0.5123659212902842,351,351,0.084083576689132,0.09769611790113483,0.013612541212002838,1.161892984908696
lso_grid,10,6,3.014490942081272,0.2988318920414641,807,807,0.06666083599541305,0.10737160802203523,0.04071077202662218,1.6107149935746907
lso_grid,10,8,3.297375808936094,0.0464429325588563,633,633,0.02535499173949121,0.06933269975261064,0.043977708013119426,2.7344792877460393
vanilla_ls_nm,4,4,1.3017287291844895,0.02412845018603655,399,399,0.0061638709746697955,0.016619654728460137,0.010455783753790342,2.6963015281724756
vanilla_ls_nm,4,6,1.1480456918479218,0.01602054811459785,587,587,0.0032350102518649234,0.010007066647697179,0.006772056395832256,3.093364740321392
vanilla_ls_nm,4,8,0.8132890739935263,0.00441974083093295,476,476,0.0014638673097856557,0.00706114292867913,0.005597275618893475,4.823622251468302
vanilla_ls_nm,6,4,1.6425147636856248,0.19570595254691725,252,252,0.026085854872497153,0.04077578273346681,0.014689927860969659,1.563137682578214
vanilla_ls_nm,6,6,2.1646588040319625,0.0743879737742389,420,420,0.018623969083402657,0.03912997539235896,0.020506006308956305,2.101054572047743
vanilla_ls_nm,6,8,2.187647833146967,0.03996082336006025,291,291,0.01270342184505247,0.03626396449643672,0.02356054265138425,2.854661125070033
vanilla_ls_nm,8,4,2.0562732906123156,0.424922580255116,224,224,0.06699795977871437,0.0706721870914263,0.003674227312711928,1.05484088358582
vanilla_ls_nm,8,6,2.667177768379765,0.29317125505414865,556,556,0.05721116738605828,0.08296201315828039,0.025750845772222107,1.450101736230212
vanilla_ls_nm,8,8,2.8694219696383354,0.0634682566332999,350,350,0.027475767749158816,0.041326848074824396,0.01385108032566558,1.5041198648976655
vanilla_ls_nm,10,4,2.1781241225792742,0.6436974670359024,217,217,0.09112883659645563,0.09098420610652345,-0.00014463048993217098,0.9984129009506328
vanilla_ls_nm,10,6,2.9278313220613725,0.42653025384316945,703,703,0.07297740662010266,0.11007514773382691,0.037097741113724256,1.508345566551075
vanilla_ls_nm,10,8,3.288459152139331,0.0575702970518184,667,667,0.02680959345048703,0.07522899331187359,0.04841939986138656,2.806047523652656
