ansatz,variant,role,n_qubits,depth,outcome,target,spec,spec_kind,time_controlled,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,bootstrap_seed,excluded_fraction,top_status
hea,lso_grid,secondary,8,6,kappa,C,C_given_G_nu_cos,main,True,30,15,False,0.17067367840943942,-0.05867617394982968,0.38192585591781286,351417419,0.0,collinear
hea,lso_grid,secondary,8,8,r,C,C_given_G_nu_cos,main,False,30,27,True,-0.03330775834635798,-0.2111861443753685,0.156731774475937,3188744135,0.0,ok
hea,lso_grid,secondary,8,8,r,C,C_given_G_nu_cos,main,True,30,8,False,-0.23307622366710093,-0.4153143202436416,-0.03301813305026835,3515156938,0.0,collinear
hea,lso_grid,secondary,8,8,kappa,C,C_given_G_nu_cos,main,False,30,27,True,0.014456441927849041,-0.1712877990895539,0.1978889076951223,3157384952,0.0,ok
hea,lso_grid,secondary,8,8,kappa,C,C_given_G_nu_cos,main,True,30,8,False,0.26267827610252265,0.11560292290580726,0.39404971279022494,467834942,0.0,collinear
hea,lso_grid,secondary,10,4,r,C,C_given_G_nu_cos,main,False,30,29,True,0.1014075996846379,-0.018613253507382986,0.2245646240051771,2957601604,0.0,ok
hea,lso_grid,secondary,10,4,r,C,C_given_G_nu_cos,main,True,30,8,False,-0.006709458313416193,-0.24870154234085667,0.23082038668241897,406608260,0.0,collinear
hea,lso_grid,secondary,10,4,kappa,C,C_given_G_nu_cos,main,False,30,29,True,-0.11325670436823777,-0.23032697203064995,0.004585769810794166,221914996,0.0,ok
hea,lso_grid,secondary,10,4,kappa,C,C_given_G_nu_cos,main,True,30,8,False,0.1282806957719834,-0.12965185248488661,0.3593925879048997,1958918894,0.0,collinear
hea,lso_grid,secondary,10,6,r,C,C_given_G_nu_cos,main,False,30,29,True,0.12165495697944406,-0.0016111305739225166,0.24123000246707774,2757678556,0.0,ok
hea,lso_grid,secondary,10,6,r,C,C_given_G_nu_cos,main,True,30,13,False,0.16498401868610263,-0.02831010018904952,0.34207454172223395,4256925068,0.0,collinear
hea,lso_grid,secondary,10,6,kappa,C,C_given_G_nu_cos,main,False,30,29,True,-0.2552616316432951,-0.3779038692790769,-0.12219188788488404,1699877669,0.0,ok
hea,lso_grid,secondary,10,6,kappa,C,C_given_G_nu_cos,main,True,30,13,False,-0.19541860844857203,-0.3742953046933247,-0.007616415669873351,3494109251,0.0,collinear
hea,lso_grid,secondary,10,8,r,C,C_given_G_nu_cos,main,False,30,18,False,-0.36027694082516937,-0.545453683278652,-0.13237595881243508,3719346201,0.0,ok
hea,lso_grid,secondary,10,8,r,C,C_given_G_nu_cos,main,True,30,4,False,-0.23432447636146847,-0.671195165043354,0.1616530406734769,2984621866,0.0,collinear
hea,lso_grid,secondary,10,8,kappa,C,C_given_G_nu_cos,main,False,30,18,False,0.32659817868127256,0.08100459114540844,0.530130141250715,3767769361,0.0,ok
hea,lso_grid,secondary,10,8,kappa,C,C_given_G_nu_cos,main,True,30,4,False,0.19934387091191877,-0.2512516239145453,0.6812420684011001,1628135361,0.0,collinear
hea,vanilla,primary,4,4,r,C,C_given_G,main,False,30,29,True,-0.005398015305624458,-0.14786894837778392,0.14723916307603419,3842612971,0.0,ok
hea,vanilla,primary,4,4,r,C,C_given_G,main,True,30,12,False,0.3136370642692558,0.039828878543704635,0.5702170243047603,4142064330,0.0,collinear
hea,vanilla,primary,4,4,kappa,C,C_given_G,main,False,30,29,True,-0.0474803902299354,-0.2567051579367231,0.1713735211036967,2048432383,0.0,ok
hea,vanilla,primary,4,4,kappa,C,C_given_G,main,True,30,12,False,-0.3871499869524901,-0.5938447334136412,-0.12027990811135761,1622659061,0.0,collinear
hea,vanilla,primary,4,6,r,C,C_given_G,main,False,30,27,True,0.005233542548225933,-0.11010539608176188,0.11347758829882175,2280538088,0.0,ok
hea,vanilla,primary,4,6,r,C,C_given_G,main,True,30,18,False,0.0008186447595562166,-0.1629905969403719,0.1689530679400729,1067051649,0.0,ok
hea,vanilla,primary,4,6,kappa,C,C_given_G,main,False,30,27,True,-0.15793172072737127,-0.33656567177833735,0.02725723591837866,1698510810,0.0,ok
hea,vanilla,primary,4,6,kappa,C,C_given_G,main,True,30,18,False,-0.14875780660324844,-0.4029104948204668,0.11497941863291775,1626627530,0.0,ok
hea,vanilla,primary,4,8,r,C,C_given_G,main,False,30,27,True,-0.016193736231436415,-0.07573753217492403,0.04614434311806369,1624018502,0.0,ok
hea,vanilla,primary,4,8,r,C,C_given_G,main,True,30,17,False,0.0002687034793276228,-0.06706415091759747,0.09096588693880213,1814437957,0.0,ok
hea,vanilla,primary,4,8,kappa,C,C_given_G,main,False,30,27,True,0.16278695396651133,-0.011106515226504549,0.3330900586287793,4070689752,0.0,ok
hea,vanilla,primary,4,8,kappa,C,C_given_G,main,True,30,17,False,0.19566382309076738,-0.04392188413844297,0.4280017083591614,1659286910,0.0,ok
