ansatz,variant,n_qubits,depth,statistic,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,material_and_resolved,reason,sign,max_vif_median,kappa_median,top_status,bootstrap_seed
hea,lso_grid,4,4,rho_nu,30,27,True,0.1490649536847374,0.0950221463628952,0.2064983252231351,False,below_material_threshold,1,4.4264270224408495,4.179868550331591,ok,2413424575
hea,lso_grid,4,4,rho_cos,30,27,True,0.023241917349562533,-0.029794014597333798,0.07740466063069901,False,below_material_threshold,1,4.42642702244085,4.17986855033159,ok,3566250145
hea,lso_grid,4,4,rho_C,30,27,True,-0.028432331286389216,-0.09715055653585251,0.03304319061435212,False,below_material_threshold,-1,4.4264270224408495,4.179868550331592,ok,2065209084
hea,lso_grid,4,6,rho_nu,30,27,True,0.13236361066284408,0.0683249301479963,0.20057470779600448,False,below_material_threshold,1,4.689953879988993,4.321715851623756,ok,3642838974
hea,lso_grid,4,6,rho_cos,30,27,True,0.07483002392047408,0.02312120865928371,0.1375635776229137,False,below_material_threshold,1,4.689953879988991,4.321715851623757,ok,2998478481
hea,lso_grid,4,6,rho_C,30,27,True,-0.03480088706015556,-0.09162121653369483,0.012687571567981582,False,below_material_threshold,-1,4.689953879988993,4.321715851623755,ok,3771357925
hea,lso_grid,4,8,rho_nu,30,29,True,0.05694475222051345,0.014070945501944761,0.11364172055602946,False,below_material_threshold,1,3.8684351474363226,3.969233773410851,ok,1548380881
hea,lso_grid,4,8,rho_cos,30,29,True,0.025350121008426395,-0.001709182042083171,0.05874323540712507,False,below_material_threshold,1,3.8684351474363234,3.969233773410852,ok,3572956162
hea,lso_grid,4,8,rho_C,30,29,True,-0.03366910750206061,-0.07387181402848994,-0.00198445530666845,False,below_material_threshold,-1,3.8684351474363226,3.9692337734108514,ok,180007361
hea,lso_grid,6,4,rho_nu,30,29,True,0.3821735071117008,0.3113694482649095,0.4474635518388871,True,material_and_resolved,1,5.082872535591811,4.805290500541201,ok,1778980876
hea,lso_grid,6,4,rho_cos,30,29,True,0.221465886989544,0.15359597257769994,0.289199458734375,True,material_and_resolved,1,5.082872535591812,4.805290500541201,ok,1470979275
hea,lso_grid,6,4,rho_C,30,29,True,0.010841862714374291,-0.07689082845027448,0.1014078463057494,False,below_material_threshold,1,5.082872535591812,4.805290500541201,ok,3507179126
hea,lso_grid,6,6,rho_nu,30,30,True,0.3568047160135052,0.27253763564874167,0.4446156385812811,True,material_and_resolved,1,3.682954579425606,3.8718498733605236,ok,4130872241
hea,lso_grid,6,6,rho_cos,30,30,True,0.15130857840440048,0.08819375628649369,0.22654253532775726,False,below_material_threshold,1,3.6829545794256067,3.871849873360525,ok,2842678182
hea,lso_grid,6,6,rho_C,30,30,True,-0.02657962424215822,-0.12556075062213734,0.0633078591566628,False,below_material_threshold,-1,3.6829545794256067,3.8718498733605244,ok,3107469244
hea,lso_grid,6,8,rho_nu,30,27,True,0.23297833036834756,0.17335719592101487,0.29573235693690403,True,material_and_resolved,1,5.45119922312135,4.772009919660809,ok,947636915
hea,lso_grid,6,8,rho_cos,30,27,True,0.01822890360861577,-0.03204564605320297,0.0700676535075967,False,below_material_threshold,1,5.45119922312135,4.7720099196608095,ok,4155403097
hea,lso_grid,6,8,rho_C,30,27,True,-0.051940883205117916,-0.1394441642836889,0.025588110192240516,False,below_material_threshold,-1,5.45119922312135,4.772009919660806,ok,3741787456
hea,lso_grid,8,4,rho_nu,30,25,True,0.48055857031649474,0.3815944966103437,0.5778217896803132,True,material_and_resolved,1,4.20468316337563,4.103807593311917,ok,2481698641
hea,lso_grid,8,4,rho_cos,30,25,True,0.26627979486614933,0.17863217766998887,0.3530639612666253,True,material_and_resolved,1,4.20468316337563,4.1038075933119185,ok,418410416
