ansatz,variant,n_qubits,depth,n_transitions,n_valid_base,f_zero_update,f_zero_grad,f_undefined_C_given_valid,f_invalid_C_total,f_worse_given_valid,f_worse_total
hea,vanilla,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hea,vanilla_ls_nm,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_grid,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
